iata_code,name,continent,iso_country,municipality
HBE,Borg El Arab International Airport,AF,EG,Alexandria
ABS,Abu Simbel Airport,AF,EG,Abu Simbel
CAI,Cairo International Airport,AF,EG,Cairo
DAK,Dakhla Airport,AF,EG,
HRG,Hurghada International Airport,AF,EG,Hurghada
EGH,El Gora Airport,AF,EG,El Gora
UVL,El Kharga Airport,AF,EG,
LXR,Luxor International Airport,AF,EG,Luxor
RMF,Marsa Alam International Airport,AF,EG,Marsa Alam
HMB,Sohag International Airport,AF,EG,Sohag
MUH,Mersa Matruh Airport,AF,EG,Mersa Matruh
HEO,Haelogo Airport,OC,PG,Haelogo
GSQ,El Oweinat East International Airport,AF,EG,
PSD,Port Said Airport,AF,EG,Port Said
SKV,St Catherine International Airport,AS,EG,
SSH,Sharm El Sheikh International Airport,AS,EG,Sharm el-Sheikh
ASW,Aswan International Airport,AF,EG,Aswan
SPX,Sphinx International Airport,AF,EG,Giza
TCP,Taba International Airport,AS,EG,Taba
ELT,El Tor Airport,AS,EG,
HEY,Hanchey Army (Fort Rucker) Heliport,NA,US,Fort Rucker Ozark
HGT,Tusi AHP (Hunter Liggett) Heliport,NA,US,Fort Hunter Ligget Jolon
ASM,Asmara International Airport,AF,ER,Asmara
MSW,Massawa International Airport,AF,ER,Massawa
ASA,Assab International Airport,AF,ER,Asab
TES,Tessenei Airport,AF,ER,Tessenei
HPV,Princeville Airport,NA,US,Hanalei
WKL,Waikoloa Heliport,NA,US,Waikoloa Village
HIA,Lianshui Airport,AS,CN,Huai'an
HIL,Shilavo Airport,AF,ET,Shilavo
ASV,Amboseli Airport,AF,KE,Amboseli National Park
HKB,Healy Lake Airport,NA,US,Healy Lake
EDL,Eldoret International Airport,AF,KE,Eldoret
EYS,Eliye Springs Airport,AF,KE,Eliye Springs
KLK,Kalokol Airport,AF,KE,Kalokol
GAS,Garissa Airport,AF,KE,Garissa
HOA,Hola Airport,AF,KE,Hola
NBO,Jomo Kenyatta International Airport,AF,KE,Nairobi
KEU,Keekorok Airport,AF,KE,Keekorok
GGM,Kakamega Airport,AF,KE,Kakamega
KIS,Kisumu Airport,AF,KE,Kisumu
ILU,Kilaguni Airport,AF,KE,Kilaguni
KEY,Kericho Airport,AF,KE,Kericho
KTL,Kitale Airport,AF,KE,Kitale
LKG,Lokichoggio Airport,AF,KE,Lokichoggio
LOK,Lodwar Airport,AF,KE,Lodwar
LAU,Manda Airstrip,AF,KE,Lamu
LOY,Loyengalani Airport,AF,KE,Loyengalani
NDE,Mandera Airport,AF,KE,Mandera
RBT,Marsabit Airport,AF,KE,Marsabit
MYD,Malindi Airport,AF,KE,Malindi
MBA,Mombasa Moi International Airport,AF,KE,Mombasa
MRE,Mara Serena Lodge Airstrip,AF,KE,Masai Mara
OYL,Moyale Airport,AF,KE,Moyale (Lower)
NYE,Nyeri Airport,AF,KE,Nyeri
NUU,Nakuru Airport,AF,KE,Nakuru
WIL,Nairobi Wilson Airport,AF,KE,Nairobi
NYK,Nanyuki Airport,AF,KE,Nanyuki
UAS,Buffalo Spring,AF,KE,Samburu
UKA,Ukunda Airstrip,AF,KE,Ukunda
WJR,Wajir Airport,AF,KE,Wajir
SRX,Gardabya Airport,AF,LY,Sirt
TOB,Gamal Abdel Nasser Airport,AF,LY,Tobruk
GHT,Ghat Airport,AF,LY,Ghat
AKF,Kufra Airport,AF,LY,Kufra
BEN,Benina International Airport,AF,LY,Benghazi
MJI,Mitiga Airport,AF,LY,Tripoli
LAQ,La Abraq Airport,AF,LY,Al Bayda'
SEB,Sabha Airport,AF,LY,Sabha
TIP,Tripoli International Airport,AF,LY,Tripoli
LMQ,Marsa Brega Airport,AF,LY,
NFR,Nafurah 1 Airport,AF,LY,Nafurah 1
HUQ,Hon Airport,AF,LY,
LTD,Ghadames East Airport,AF,LY,Ghadames
ZIS,Alzintan Airport,AF,LY,Zintan
WAX,Zwara Airport,AF,LY,Zuwara
EDQ,Erandique Airport,NA,HN,Erandique
HOO,Nhon Co Airfield,AS,VN,Quang Duc
HRC,Sary Su Airport,AS,KZ,Zhayrem
GYI,Gisenyi Airport,AF,RW,Gisenyi
BTQ,Butare Airport,AF,RW,Butare
KGL,Kigali International Airport,AF,RW,Kigali
RHG,Ruhengeri Airport,AF,RW,Ruhengeri
KME,Kamembe Airport,AF,RW,Kamembe
ATB,Atbara Airport,AF,SD,Atbara
EDB,El Debba Airport,AF,SD,El Debba
DOG,Dongola Airport,AF,SD,Dongola
RSS,Damazin Airport,AF,SD,Ad Damazin
HGI,"Paloich Airport, Heliport",AF,SS,Higleig
ELF,El Fasher Airport,AF,SD,El Fasher
GSU,Azaza Airport,AF,SD,Gedaref
DNX,Galegu Airport,AF,SD,Dinder
EGN,Geneina Airport,AF,SD,Geneina
HEG,Heglig Airport,AF,SD,Heglig Oilfield
HSJ,Shangjie Airport,AS,CN,Zhengzhou
KSL,Kassala Airport,AF,SD,Kassala
GBU,Khashm El Girba Airport,AF,SD,Khashm El Girba
KST,Kosti Airport,AF,SD,Kosti
KDX,Kadugli Airport,AF,SD,Kadugli
RBX,Rumbek Airport,AF,SS,Rumbek
MWE,Merowe New Airport,AF,SD,Merowe
NUD,En Nahud Airport,AF,SD,En Nahud
UYL,Nyala Airport,AF,SD,Nyala
NHF,New Halfa Airport,AF,SD,New Halfa
EBD,El Obeid Airport,AF,SD,Al-Ubayyid
PZU,Port Sudan New International Airport,AF,SD,Port Sudan
JUB,Juba International Airport,AF,SS,Juba
MAK,Malakal Airport,AF,SS,Malakal
KRT,Khartoum International Airport,AF,SD,Khartoum
WHF,Wadi Halfa Airport,AF,SD,Wadi Halfa
DNI,Wad Medani Airport,AF,SD,Wad Medani
WUU,Wau Airport,AF,SS,Wau
ZLX,Zalingei Airport,AF,SD,Zalingei
ARK,Arusha Airport,AF,TZ,Arusha
BKZ,Bukoba Airport,AF,TZ,Bukoba
DAR,Julius Nyerere International Airport,AF,TZ,Dar es Salaam
DOD,Dodoma Airport,AF,TZ,Dodoma
MBI,Songwe Airport,AF,TZ,Mbeya
IRI,Iringa Airport,AF,TZ,Nduli
TKQ,Kigoma Airport,AF,TZ,Kigoma
KIY,Kilwa Masoko Airport,AF,TZ,Kilwa Masoko
JRO,Kilimanjaro International Airport,AF,TZ,Arusha
LDI,Lindi Airport,AF,TZ,Lindi
LKY,Lake Manyara Airport,AF,TZ,Lake Manyara National Park
HTM,Khatgal Airport,AS,MN,Hatgal
MFA,Mafia Island Airport,AF,TZ,Mafia Island
MWN,Mwadui Airport,AF,TZ,Mwadui
XMI,Masasi Airport,AF,TZ,Masasi
NPY,Mpanda Airport,AF,TZ,Mpanda
QSI,Moshi Airport,AF,TZ,Moshi
MYW,Mtwara Airport,AF,TZ,Mtwara
MUZ,Musoma Airport,AF,TZ,Musoma
MWZ,Mwanza Airport,AF,TZ,Mwanza
NCH,Nachingwea Airport,AF,TZ,Nachingwea
JOM,Njombe Airport,AF,TZ,Njombe
PMA,Pemba Airport,AF,TZ,Chake
SEU,Seronera Airport,AF,TZ,Seronera
SGX,Songea Airport,AF,TZ,Songea
SUT,Sumbawanga Airport,AF,TZ,Sumbawanga
SHY,Shinyanga Airport,AF,TZ,Shinyanga
TBO,Tabora Airport,AF,TZ,Tabora
TGT,Tanga Airport,AF,TZ,Tanga
ZNZ,Abeid Amani Karume International Airport,AF,TZ,Zanzibar
RUA,Arua Airport,AF,UG,Arua
EBB,Entebbe International Airport,AF,UG,Kampala
ULU,Gulu Airport,AF,UG,Gulu
JIN,Jinja Airport,AF,UG,Jinja
KLA,Kololo Airstrip,AF,UG,Kampala
PAF,Pakuba Airfield,AF,UG,Kabalega Falls
KSE,Kasese Airport,AF,UG,Kasese
MBQ,Mbarara Airport,AF,UG,Mbarara
KCU,Masindi Airport,AF,UG,Masindi
SRT,Soroti Airport,AF,UG,Soroti
TRY,Tororo Airport,AF,UG,Tororo
HWA,Hawabango Airport,OC,PG,Hawabango
HYL,Hollis Clark Bay Seaplane Base,NA,US,Hollis
IBI,Iboki Airport,OC,PG,Iboki
IBL,Indigo Bay Lodge Airport,AF,MZ,Bazaruto Island
ICO,Sicogon Airstrip,AS,PH,Sicogon Island
PPJ,Pulau Panjang Airport,AS,ID,Jakarta
JBB,"Noto Hadinegoro, Jember Airport",AS,ID,Jember
BWX,Blimbingsari Airport,AS,ID,Banyuwangi
AAP,Aji Pangeran Tumenggung Pranoto International Airport,AS,ID,Samarinda
BXW,Bawean Airport,AS,ID,Bawean
AAS,Apalapsili Airport,AS,ID,Apalapsili
AGD,Anggi Airport,AS,ID,Anggi-Papua Island
AKQ,Gunung Batin Airport,AS,ID,Astraksetra-Sumatra Island
AYW,Ayawasi Airport,AS,ID,Ayawasi-Papua Island
BJG,Boalang Airport,AS,ID,Boalang-Celebes Island
BXM,Batom Airport,AS,ID,Batom-Papua Island
DRH,Dabra Airport,AS,ID,Dabra-Papua Island
ELR,Elelim Airport,AS,ID,Elelim-Papua Island
EWE,Ewer Airport,AS,ID,Asmat
FOO,Kornasoren Airfield,AS,ID,Kornasoren-Numfoor Island
GAV,Gag Island Airport,AS,ID,Gag Island
IUL,Ilu Airport,AS,ID,Ilu-Papua Island
KBF,Karubaga Airport,AS,ID,Karubaga-Papua Island
KBX,Kambuaya Airport,AS,ID,Kambuaya-Papua Island
KCD,Kamur Airport,AS,ID,Kamur-Papua Island
KCI,Kon Airport,AS,TL,Kon
KEA,Keisah Airport,AS,ID,Keisah-Papua Island
KMM,Kiman Airport,AS,ID,Kiman-Papua Island
KOD,Kotabangun Airport,AS,ID,Kotabangun-Borneo Island
KRC,Departi Parbo Airport,AS,ID,Sungai Penuh
KWB,Dewadaru Airport,AS,ID,Karimunjawa-Karimunjawa Island
LLN,Kelila Airport,AS,ID,Kelila-Papua Island
LWE,Lewoleba Airport,AS,ID,Lewoleba-Lembata Island
LYK,Lunyuk Airport,AS,ID,Lunyuk-Simbawa Island
MJY,Mangunjaya Airport,AS,ID,Mangungaya-Sumatra Island
MPT,Maliana airport,AS,ID,Maliana-Alor Island
MSI,Masalembo Airport,AS,ID,Masalembo Island
MUF,Muting Airport,AS,ID,Muting
NAF,Banaina Airport,AS,ID,Banaina-Borneo Island
OBD,Obano Airport,AS,ID,Obano-Papua Island
PUM,Pomala Airport,AS,ID,Kolaka
PWL,Purwokerto Airport,AS,ID,Purwokerto-Java Island
RAQ,Sugimanuru Airport,AS,ID,Raha-Muna Island
RKI,Rokot Airport,AS,ID,Rokot-Sumatra Island
RTI,Roti Airport,AS,ID,Roti-Rote Island
RUF,Yuruf Airport,AS,ID,Amgotro
RZS,Sawan Airport,AS,ID,Sawan-Bali Island
SAE,Sangir Airport,AS,ID,Sangir-Simbawa Island
TBM,Tumbang Samba Airport,AS,ID,Tumbang Samba-Borneo Island
TMY,Tiom Airport,AS,ID,Tiom-Papua Island
ZEG,Senggo Airport,AS,ID,Senggo-Papua Island
UGU,Bilogai-Sugapa Airport,AS,ID,Sugapa-Papua Island
IDN,Indagen Airport,OC,PG,Indagen
ILX,Ileg Airport,OC,PG,Ileg
IMA,Iamalele Airport,OC,PG,"Iamalele, Fergusson Island"
IMG,Inhaminga Airport,AF,MZ,Inhaminga
VDY,Vijayanagar Aerodrome (JSW),AS,IN,
JGB,Jagdalpur Airport,AS,IN,Jagdalpur
NVY,Neyveli Airport,AS,IN,Neyveli
RJI,Rajouri Airport,AS,IN,Rajouri
TEI,Tezu Airport,AS,IN,Tezu
INE,Chinde Airport,AF,MZ,Chinde
IOK,Iokea Airport,OC,PG,Iokea
IOP,Ioma Airport,OC,PG,Ioma
KHA,Khaneh Airport,AS,IR,Khaneh
GSM,Qeshm International Airport,AS,IR,Qeshm
IRU,Iranamadu Seaplane Base,AS,LK,Iranamadu
ISG,New Ishigaki Airport,AS,JP,Ishigaki
TQR,San Domino Island Heliport,EU,IT,Tremiti Islands
ITK,Itokama Airport,OC,PG,Itokama
IUS,Inus Airport,OC,PG,Inus
IVH,Ivishak Airport,NA,US,Ivishak River
IVI,Viveros Island Airport,NA,PA,Isla Viveros
JGD,Jiagedaqi Airport,AS,CN,Jiagedaqi
JIC,Jinchuan Airport,AS,CN,Jinchang
JIO,Jos Orno Imsula Airport,AS,ID,Tiakur
JIQ,Qianjiang Wulingshan Airport,AS,CN,Qianjiang
JJD,Comandante Ariston Pessoa Airport,SA,BR,Jijoca de Jericoacoara
JLA,Quartz Creek Airport,NA,US,Cooper Landing
JOP,Josephstaal Airport,OC,PG,Josephstaal
JPB,Pan Am Building Heliport,NA,US,New York
JPN,Pentagon Army Heliport,NA,US,Washington
JRA,West 30th St. Heliport,NA,US,New York
JRB,Downtown-Manhattan/Wall St Heliport,NA,US,New York
JUH,Jiuhuashan Airport,AS,CN,Chizhou
AMK,Animas Air Park,NA,US,Durango
BDX,Broadus Airport,NA,US,Broadus
EUE,Eureka Airport,NA,US,Eureka
KPT,Jackpot Airport/Hayden Field,NA,US,Jackpot
RLA,Rolla Downtown Airport,NA,US,Rolla
FID,Elizabeth Field,NA,US,Fishers Island
HUD,Humboldt Municipal Airport,NA,US,Humboldt
TWD,Jefferson County International Airport,NA,US,Port Townsend
MVM,Kayenta Airport,NA,US,Kayenta
HCC,Columbia County Airport,NA,US,Hudson
AHD,Ardmore Downtown Executive Airport,NA,US,Ardmore
GCW,Grand Canyon West Airport,NA,US,Peach Springs
CKE,Lampson Field,NA,US,Lakeport
ROF,Montague-Yreka Rohrer Field,NA,US,Montague
CNE,Fremont County Airport,NA,US,Ca̱on City
RSX,Rouses Point Seaplane Base,NA,US,Rouses Point
COP,Cooperstown-Westville Airport,NA,US,Cooperstown
CIL,Council Airport,NA,US,Council
IRB,Iraan Municipal Airport,NA,US,Iraan
GNF,Gansner Field,NA,US,Quincy
CHZ,Chiloquin State Airport,NA,US,Chiloquin
LTW,St. Mary's County Regional Airport,NA,US,Leonardtown
AHF,Arapahoe Municipal Airport,NA,US,Arapahoe
PCT,Princeton Airport,NA,US,Princeton/Rocky Hill
CTO,Calverton Executive Airpark,NA,US,Calverton
NRI,Grand Lake Regional Airport,NA,US,Afton
GTP,Grants Pass Airport,NA,US,Grants Pass
NLE,Jerry Tyler Memorial Airport,NA,US,Niles
GCD,Grand Coulee Dam Airport,NA,US,Electric City
VLE,Valle Airport,NA,US,Grand Canyon
FPY,Perry-Foley Airport,NA,US,Perry
NTJ,Manti-Ephraim Airport,NA,US,Manti
MSD,Mount Pleasant Airport,NA,US,Mount Pleasant
SBO,Salina Gunnison Airport,NA,US,Salina
JVI,Central Jersey Regional Airport,NA,US,Manville
UCE,Eunice Airport,NA,US,Eunice
GOL,Gold Beach Municipal Airport,NA,US,Gold Beach
KKT,Kentland Municipal Airport,NA,US,Kentland
PRW,Prentice Airport,NA,US,Prentice
EGP,Maverick County Memorial International Airport,NA,US,Eagle Pass
BLD,Boulder City Municipal Airport,NA,US,Boulder City
MFH,Mesquite Airport,NA,US,Mesquite
ECA,Iosco County Airport,NA,US,East Tawas
FMU,Florence Municipal Airport,NA,US,Florence
OTS,Anacortes Airport,NA,US,Anacortes
ROL,Roosevelt Municipal Airport,NA,US,Roosevelt
CTK,Canton Municipal Airport,NA,US,Canton
WPO,North Fork Valley Airport,NA,US,Paonia
ATE,Antlers Municipal Airport,NA,US,Antlers
QWG,Wilgrove Air Park,NA,US,Charlotte
ASQ,Austin Airport,NA,US,Austin
AAF,Apalachicola Regional Airport,NA,US,Apalachicola
ABE,Lehigh Valley International Airport,NA,US,Allentown
ABI,Abilene Regional Airport,NA,US,Abilene
ABQ,Albuquerque International Sunport,NA,US,Albuquerque
ABR,Aberdeen Regional Airport,NA,US,Aberdeen
ABY,Southwest Georgia Regional Airport,NA,US,Albany
ACB,Antrim County Airport,NA,US,Bellaire
ACK,Nantucket Memorial Airport,NA,US,Nantucket
ACT,Waco Regional Airport,NA,US,Waco
ACV,California Redwood Coast-Humboldt County Airport,NA,US,Arcata/Eureka
ACY,Atlantic City International Airport,NA,US,Atlantic City
ADG,Lenawee County Airport,NA,US,Adrian
ADT,Ada Regional Airport,NA,US,Ada
ADM,Ardmore Municipal Airport,NA,US,Ardmore
ADS,Addison Airport,NA,US,Dallas
ADW,Joint Base Andrews,NA,US,Camp Springs
KAE,Kake Seaplane Base,NA,US,Kake
AEL,Albert Lea Municipal Airport,NA,US,Albert Lea
AEX,Alexandria International Airport,NA,US,Alexandria
KAF,Karato Airport,OC,PG,Karato
AFF,USAF Academy Airfield,NA,US,Colorado Springs
WSG,Washington County Airport,NA,US,Washington
AFN,Jaffrey Airport Silver Ranch Airport,NA,US,Jaffrey
AFO,Afton Municipal Airport,NA,US,Afton
AFW,Fort Worth Alliance Airport,NA,US,Fort Worth
AGC,Allegheny County Airport,NA,US,Pittsburgh
AGO,Ralph C Weiser Field,NA,US,Magnolia
AGS,Augusta Regional At Bush Field,NA,US,Augusta
AHC,Amedee Army Air Field,NA,US,Herlong
AHH,Amery Municipal Airport,NA,US,Amery
AHN,Athens Ben Epps Airport,NA,US,Athens
AIA,Alliance Municipal Airport,NA,US,Alliance
AID,Anderson Municipal Darlington Field,NA,US,Anderson
AIK,Aiken Regional Airport,NA,US,Aiken
AIO,Atlantic Municipal Airport,NA,US,Atlantic
AIV,George Downer Airport,NA,US,Aliceville
AIY,Atlantic City Municipal Bader Field,NA,US,Atlantic City
AIZ,Lee C Fine Memorial Airport,NA,US,Kaiser Lake Ozark
AKO,Colorado Plains Regional Airport,NA,US,Akron
AKC,Akron Fulton International Airport,NA,US,Akron
ALB,Albany International Airport,NA,US,Albany
ALI,Alice International Airport,NA,US,Alice
ALM,Alamogordo White Sands Regional Airport,NA,US,Alamogordo
ALN,St Louis Regional Airport,NA,US,Alton/St Louis
ALO,Waterloo Regional Airport,NA,US,Waterloo
ALS,San Luis Valley Regional Bergman Field,NA,US,Alamosa
ALW,Walla Walla Regional Airport,NA,US,Walla Walla
ALX,Thomas C Russell Field,NA,US,Alexander City
AMA,Rick Husband Amarillo International Airport,NA,US,Amarillo
AMN,Gratiot Community Airport,NA,US,Alma
AMW,Ames Municipal Airport,NA,US,Ames
ANB,Anniston Regional Airport,NA,US,Anniston
AND,Anderson Regional Airport,NA,US,Anderson
SLT,Salida Airport Harriett Alexander Field,NA,US,Salida
ANP,Lee Airport,NA,US,Annapolis
ANQ,Tri State Steuben County Airport,NA,US,Angola
ANW,Ainsworth Regional Airport,NA,US,Ainsworth
ANY,Anthony Municipal Airport,NA,US,Anthony
AOH,Lima Allen County Airport,NA,US,Lima
AOO,Altoona Blair County Airport,NA,US,Altoona
APA,Centennial Airport,NA,US,Denver
APC,Napa County Airport,NA,US,Napa
APF,Naples Municipal Airport,NA,US,Naples
APG,Phillips Army Air Field,NA,US,Aberdeen Proving Grounds(Aberdeen)
APH,A P Hill AAF (Fort A P Hill) Airport,NA,US,Fort A. P. Hill
APN,Alpena County Regional Airport,NA,US,Alpena
APT,Marion County Brown Field,NA,US,Jasper
APV,Apple Valley Airport,NA,US,Apple Valley
KAQ,Kamulai Airport,OC,PG,Kamulai Mission
ARA,Acadiana Regional Airport,NA,US,New Iberia
ARB,Ann Arbor Municipal Airport,NA,US,Ann Arbor
ARG,Walnut Ridge Regional Airport,NA,US,Walnut Ridge
WHT,Wharton Regional Airport,NA,US,Wharton
AUZ,Aurora Municipal Airport,NA,US,Chicago/Aurora
ART,Watertown International Airport,NA,US,Watertown
ARV,Lakeland-Noble F. Lee Memorial field,NA,US,Minocqua-Woodruff
BFT,Beaufort County Airport,NA,US,Beaufort
ASE,Aspen-Pitkin Co/Sardy Field,NA,US,Aspen
SPZ,Springdale Municipal Airport,NA,US,Springdale
ASH,Boire Field,NA,US,Nashua
ASL,Harrison County Airport,NA,US,Marshall
ASN,Talladega Municipal Airport,NA,US,Talladega
AST,Astoria Regional Airport,NA,US,Astoria
ASX,John F Kennedy Memorial Airport,NA,US,Ashland
ASY,Ashley Municipal Airport,NA,US,Ashley
ATL,Hartsfield Jackson Atlanta International Airport,NA,US,Atlanta
ATS,Artesia Municipal Airport,NA,US,Artesia
ATW,Appleton International Airport,NA,US,Appleton
ATY,Watertown Regional Airport,NA,US,Watertown
AUG,Augusta State Airport,NA,US,Augusta
AUM,Austin Municipal Airport,NA,US,Austin
AUN,Auburn Municipal Airport,NA,US,Auburn
AUO,Auburn University Regional Airport,NA,US,Auburn
AUS,Austin Bergstrom International Airport,NA,US,Austin
AUW,Wausau Downtown Airport,NA,US,Wausau
AVL,Asheville Regional Airport,NA,US,Asheville
AVO,Avon Park Executive Airport,NA,US,Avon Park
AVP,Wilkes Barre Scranton International Airport,NA,US,Wilkes-Barre/Scranton
AVW,Marana Regional Airport,NA,US,Tucson
AVX,Catalina Airport,NA,US,Avalon
AWM,West Memphis Municipal Airport,NA,US,West Memphis
AXG,Algona Municipal Airport,NA,US,Algona
AXN,Chandler Field,NA,US,Alexandria
AXS,Altus Quartz Mountain Regional Airport,NA,US,Altus
AXV,Neil Armstrong Airport,NA,US,Wapakoneta
AXX,Angel Fire Airport,NA,US,Angel Fire
AYE,Ft Devens Moore Army Air Field,NA,US,
AYS,Waycross Ware County Airport,NA,US,Waycross
TUH,Arnold Air Force Base,NA,US,Tullahoma
AZO,Kalamazoo Battle Creek International Airport,NA,US,Kalamazoo
BAB,Beale Air Force Base,NA,US,Marysville
BAD,Barksdale Air Force Base,NA,US,Bossier City
BAF,Westfield-Barnes Regional Airport,NA,US,Westfield/Springfield
CLU,Columbus Municipal Airport,NA,US,Columbus
BAM,Battle Mountain Airport,NA,US,Battle Mountain
BBB,Benson Municipal Airport,NA,US,Benson
BBD,Curtis Field,NA,US,Brady
BTN,Marlboro County Jetport H.E. Avent Field,NA,US,Bennettsville
BBW,Broken Bow Municipal Airport,NA,US,Broken Bow
BCB,Virginia Tech Montgomery Executive Airport,NA,US,Blacksburg
BCE,Bryce Canyon Airport,NA,US,Bryce Canyon
BCT,Boca Raton Airport,NA,US,Boca Raton
BDE,Baudette International Airport,NA,US,Baudette
BDG,Blanding Municipal Airport,NA,US,Blanding
BDL,Bradley International Airport,NA,US,Hartford
BDR,Igor I Sikorsky Memorial Airport,NA,US,Bridgeport
WBU,Boulder Municipal Airport,NA,US,Boulder
KBE,Bell Island Hot Springs Seaplane Base,NA,US,Bell Island
BEC,Beech Factory Airport,NA,US,Wichita
BED,Laurence G Hanscom Field,NA,US,Bedford
BEH,Southwest Michigan Regional Airport,NA,US,Benton Harbor
BFD,Bradford Regional Airport,NA,US,Bradford
BFF,Western Neb. Rgnl/William B. Heilig Airport,NA,US,Scottsbluff
BFI,Boeing Field King County International Airport,NA,US,Seattle
BFL,Meadows Field,NA,US,Bakersfield
BFM,Mobile Downtown Airport,NA,US,Mobile
BFR,Virgil I Grissom Municipal Airport,NA,US,Bedford
BGD,Hutchinson County Airport,NA,US,Borger
BGE,Decatur County Industrial Air Park,NA,US,Bainbridge
BGM,Greater Binghamton/Edwin A Link field,NA,US,Binghamton
BGR,Bangor International Airport,NA,US,Bangor
BHB,Hancock County-Bar Harbor Airport,NA,US,Bar Harbor
BHM,Birmingham-Shuttlesworth International Airport,NA,US,Birmingham
BID,Block Island State Airport,NA,US,Block Island
BIE,Beatrice Municipal Airport,NA,US,Beatrice
BIF,Biggs Army Air Field (Fort Bliss),NA,US,Fort Bliss/El Paso
BIH,Eastern Sierra Regional Airport,NA,US,Bishop
BIL,Billings Logan International Airport,NA,US,Billings
BIS,Bismarck Municipal Airport,NA,US,Bismarck
BIX,Keesler Air Force Base,NA,US,Biloxi
BJC,Rocky Mountain Metropolitan Airport,NA,US,Denver
BJI,Bemidji Regional Airport,NA,US,Bemidji
BJJ,Wayne County Airport,NA,US,Wooster
BKD,Stephens County Airport,NA,US,Breckenridge
BKE,Baker City Municipal Airport,NA,US,Baker City
BFK,Buckley Air Force Base,NA,US,Aurora
BKL,Burke Lakefront Airport,NA,US,Cleveland
BKT,Allen C Perkinson Blackstone Army Air Field,NA,US,Blackstone
BKW,Raleigh County Memorial Airport,NA,US,Beckley
BKX,Brookings Regional Airport,NA,US,Brookings
BLF,Mercer County Airport,NA,US,Bluefield
BLH,Blythe Airport,NA,US,Blythe
BLI,Bellingham International Airport,NA,US,Bellingham
BLM,Monmouth Executive Airport,NA,US,Belmar/Farmingdale
BLU,Blue Canyon Nyack Airport,NA,US,Emigrant Gap
BLV,Scott AFB/Midamerica Airport,NA,US,Belleville
KBM,Kabwum,OC,PG,
BMC,Brigham City Regional Airport,NA,US,Brigham City
BMG,Monroe County Airport,NA,US,Bloomington
BMI,Central Illinois Regional Airport at Bloomington-Normal,NA,US,Bloomington/Normal
BML,Berlin Regional Airport,NA,US,Berlin
BMT,Beaumont Municipal Airport,NA,US,Beaumont
BNA,Nashville International Airport,NA,US,Nashville
BNG,Banning Municipal Airport,NA,US,Banning
BNL,Barnwell Regional Airport,NA,US,Barnwell
BNO,Burns Municipal Airport,NA,US,Burns
BNW,Boone Municipal Airport,NA,US,Boone
BOI,Boise Air Terminal/Gowen Field,NA,US,Boise
BOS,General Edward Lawrence Logan International Airport,NA,US,Boston
BOW,Bartow Executive Airport,NA,US,Bartow
HCA,Big Spring Mc Mahon-Wrinkle Airport,NA,US,Big Spring
BPI,Miley Memorial Field,NA,US,Big Piney
WMH,Ozark Regional Airport,NA,US,Mountain Home
BPT,Southeast Texas Regional Airport,NA,US,Beaumont/Port Arthur
BQK,Brunswick Golden Isles Airport,NA,US,Brunswick
BRD,Brainerd Lakes Regional Airport,NA,US,Brainerd
BRL,Southeast Iowa Regional Airport,NA,US,Burlington
BRO,Brownsville South Padre Island International Airport,NA,US,Brownsville
BRY,Samuels Field,NA,US,Bardstown
BTF,Skypark Airport,NA,US,Bountiful
BTL,W K Kellogg Airport,NA,US,Battle Creek
BTM,Bert Mooney Airport,NA,US,Butte
TTO,Britton Municipal Airport,NA,US,Britton
BTP,Pittsburgh/Butler Regional Airport,NA,US,Butler
BTR,Baton Rouge Metropolitan Airport,NA,US,Baton Rouge
BTV,Burlington International Airport,NA,US,Burlington
BTY,Beatty Airport,NA,US,Beatty
BUB,Cram Field,NA,US,Burwell
BUF,Buffalo Niagara International Airport,NA,US,Buffalo
BUM,Butler Memorial Airport,NA,US,Butler
BUR,Bob Hope Airport,NA,US,Burbank
BFP,Beaver County Airport,NA,US,Beaver Falls
BVO,Bartlesville Municipal Airport,NA,US,Bartlesville
MVW,Skagit Regional Airport,NA,US,Burlington/Mount Vernon
BVX,Batesville Regional Airport,NA,US,Batesville
BVY,Beverly Municipal Airport,NA,US,Beverly
BWC,Brawley Municipal Airport,NA,US,Brawley
BWD,Brownwood Regional Airport,NA,US,Brownwood
BWG,Bowling Green Warren County Regional Airport,NA,US,Bowling Green
BWI,Baltimore/Washington International Thurgood Marshall Airport,NA,US,Baltimore
WAH,Harry Stern Airport,NA,US,Wahpeton
BWM,Bowman Regional Airport,NA,US,Bowman
BXA,George R Carr Memorial Air Field,NA,US,Bogalusa
BXK,Buckeye Municipal Airport,NA,US,Buckeye
BYG,Johnson County Airport,NA,US,Buffalo
BYH,Arkansas International Airport,NA,US,Blytheville
BYI,Burley Municipal Airport,NA,US,Burley
BYS,Bicycle Lake Army Air Field,NA,US,Fort Irwin/Barstow
BBC,Bay City Municipal Airport,NA,US,Bay City
BZN,Gallatin Field,NA,US,Bozeman
XES,Grand Geneva Resort Airport,NA,US,Lake Geneva
PLY,Plymouth Municipal Airport,NA,US,Plymouth
CLG,New Coalinga Municipal Airport,NA,US,Coalinga
CAD,Wexford County Airport,NA,US,Cadillac
CAE,Columbia Metropolitan Airport,NA,US,Columbia
CIG,Craig Moffat Airport,NA,US,Craig
CAK,Akron Canton Regional Airport,NA,US,Akron
